Altium Designer Pick and Place Locations,,,,,,,,
E:\OneDrive - Food Equipment Technologies Company\CONTROLS\CBS-1100-XV+\Design_20170818\Design\Project Outputs for CBS1100\Pick and place files\Pick Place for CBS2100EE(CBS Production PCB).csv,,,,,,,,
,,,,,,,,
========================================================================================================================,,,,,,,,
File Design Information:,,,,,,,,
,,,,,,,,
Date:       29/08/17,,,,,,,,
Time:       12:05,,,,,,,,
Revision:   0,,,,,,,,
Variant:    Production,,,,,,,,
Units used: mil,,,,,,,,
,,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description,
Q1,PDTA114ET,BottomLayer,SOT-23,1377.511,1248.131,360,"PNP resistor-equipped transistor, R1=10 kOhm, R2=10 kOhm",
LED1,LED R,BottomLayer,LED0805,604,597,360,RED LED,
CNLCD1,Connector for ERM1202-1,TopLayer,Con_ERM1202-1,1249.998,4083.997,360,Connector 15-pin for LCD Display ERM1202-1,
L4,BLM21AG102SN1D,BottomLayer,L0805,560,2605,180,"BLM21A Series Chip Ferrite Bead, 1000 Ohm at 100 MHz, 0.28 Ohm at DC, 500 mA",
L3,BLM21AG102SN1D,BottomLayer,L0805,522,3224,90,"BLM21A Series Chip Ferrite Bead, 1000 Ohm at 100 MHz, 0.28 Ohm at DC, 500 mA",
L2,BLM21AG102SN1D,BottomLayer,L0805,525,4020,90,"BLM21A Series Chip Ferrite Bead, 1000 Ohm at 100 MHz, 0.28 Ohm at DC, 500 mA",
L1,BLM21AG102SN1D,BottomLayer,L0805,628,4444,270,"BLM21A Series Chip Ferrite Bead, 1000 Ohm at 100 MHz, 0.28 Ohm at DC, 500 mA",
D1,PESD12VS2UT,BottomLayer,SOT-23B,2106,733,360,"Double ESD protection diodes in SOT23 package, 12V",
CN1,NS39-W3P,BottomLayer,FLY3V,240,652.756,270,"NS39 Series, 3-Pin, PCB Connector, 3.96mm Pitch",
CN2,NS39-W4P,BottomLayer,NS39-W4P,240,1355.906,270,"NS39 Series, 4-Pin, PCB Connector, 3.96mm Pitch",
CN7,NS25-W4P,BottomLayer,WF-04S,1529,4918,180,"NS25 Series, 4-Pin, PCB Mount, 2.54 mm Pitch, Straight",
CN3,NS39-W5P,BottomLayer,NS39-W5P-1,240,2213.404,270,"NS39 Series, 5-Pin, PCB Connector, 3.96mm Pitch",
CN8,NS25-W4P,BottomLayer,WF-04S,1000,4918,180,"NS25 Series, 4-Pin, PCB Mount, 2.54 mm Pitch, Straight",
CN6,2501S-5P,BottomLayer,2501S-5P,2322.835,787.402,270,"Connector, 1x5-Pin, 2.5 mm Pitch, Straight",
CN4,70543-0001,BottomLayer,70543-0001,240,4355.118,90,"Schrouded Header, 2-Pin, Single Row, .120 Pocket Vertical"," 2.54mm (.100"") Pitch"""
CE2,CAP EL 47uF 16V,BottomLayer,CE1D2,767,506,90,"CAP EL 47uF 16V ±20% D=6,3mm F=2,5mm H=5mm",
CE1,CAP EL 470uF 35V,BottomLayer,CE2D4,890,893,180,CAP EL 470uF 35V ±20% D=10mm F=5mm H=16mm,
C27,CAP 100nF 50V 0805(2012),BottomLayer,C0805,948,549,90,CAP 100nF 50V ±20% 0805 (2012 Metric) Thickness 1mm SMD,
C26,CAP 100nF 50V 0805(2012),BottomLayer,C0805,1609,692,90,CAP 100nF 50V ±20% 0805 (2012 Metric) Thickness 1mm SMD,
C25,CAP 10uF 6.3V 0805(2012),BottomLayer,C0805,1718,692,90,CAP 10uF 6.3V ±20% 0805 (2012 Metric) Thickness 1.45mm SMD,
C24,CAP 100nF 50V 0805(2012),BottomLayer,C0805,1917,4277.599,90,CAP 100nF 50V ±20% 0805 (2012 Metric) Thickness 1mm SMD,
